GenBankID,Annotation,Lineage,Strain
AF130363,WN-Romania 1996 H,Lineage 1,96-1030
AF205879,WN-Romania 1996,Lineage 1,
AF205880,WN–South Africa,Lineage 1,
AF205881,WN-Israel 1952,Lineage 1,
AF001568,WN-Egypt 1951,Lineage 1,
AF001560,WN-France 1965,Lineage 1,
AF001569,WN-Senegal 1979,Lineage 1,
AF001567,WN-Algeria 1968,Lineage 1,
AF196835,WN–New York 1999,NY99,NY99-flamingo382-99
AF205882,WN-Israel 1998,Lineage 1,
AF001558,WN-C.Afr.Rep. 1989,Lineage 1,
AF205883,WN-Italy 1998,Lineage 1,
AF205884,WN-Morocco 1996,Lineage 1,
AF130362,WN-Romania 1996 M,Lineage 1,
AF146082,WN-Kenya 1998,Lineage 1,
AF001570,WN-Senegal 1993,Lineage 1,
AF001566,WN-C.Afr.Rep. 1967,Lineage 1,
AF001561,WN–Ivory Coast 1981,Lineage 1,
AF196495,Kunjin 1994,Lineage 1,
AF196509,Kunjin 1966,Lineage 1,
AF196515,Kunjin 1973,Lineage 1,
D00246,Kunjin 1960,Lineage 1,
AF196498,Kunjin 1984b,Lineage 1,
AF196491,Kunjin 1991,Lineage 1,
AF196519,Kunjin 1984a,Lineage 1,
AF205885,WN-India 1955a,Lineage 1,
AF196525,WN-India 1955b,Lineage 1,
AF196526,WN-India 1980,Lineage 1,
AF196524,WN-India 1958,Lineage 1,
AF001559,WN-Madagascar 1978,Lineage 2,
AF001574,WN-Madagascar 1988,Lineage 2,
AF001571,WN-Kenya,Lineage 2,
AF001564,WN-Madagascar 1986,Lineage 2,
AF001562,WN-Uganda 1959,Lineage 2,
AF001563,WN-C.Afr.Rep. 1972a,Lineage 2,
AF001557,WN-C.Afr.Rep. 1983,Lineage 2,
AF001565,WN-C.Afr.Rep. 1972b,Lineage 2,
M12294,WN-Nigeria,Lineage 2,
AF001573,WN-Uganda,Lineage 2,UGA-Ent63134
AF001556,WN-Senegal 1990,Lineage 2,SEN-ArD78016
U04522,JE SA 14,outgroup,SA14